Business ID,insertedAtTimestamp,Name,Cuisine,Rating,Number of Reviews,Address,Zip Code,Latitude,Longitude
Business ID,insertedAtTimestamp,Name,Cuisine,Rating,Number of Reviews,Address,Zip Code,Latitude,Longitude
xeC9vn3dxVVzAMR_aFwfXg,2022-10-10 21:00:35.201162,IL Brigante,italian,4,476,214 Front St,10038,40.707492,-74.002571
k5fd-RSdG4IuXnnGSQ5oOw,2022-10-10 21:00:35.201179,San Marzano Pasta Fresca,italian,4,1428,117 Second Ave,10003,40.727966,-73.988382
TZto7AjdA337XIw66AOpUw,2022-10-10 21:00:35.201198,Scalinatella Restaurant,italian,4,308,201 E 61st St,10065,40.7627823203802,-73.9654829353094
Business ID,insertedAtTimestamp,Name,Cuisine,Rating,Number of Reviews,Address,Zip Code,Latitude,Longitude
zYaYXpmlo6QdnaPwuxWHhQ,2022-10-10 21:00:36.464451,L'Osteria,italian,4.5,11,1219 Lexington Ave,10028,40.77704,-73.95721
4WDHrSodF1Xidv9ezS6Sgg,2022-10-10 21:00:36.464515,Tuscany Steakhouse,italian,4.5,191,117 W 58th St,10019,40.76546,-73.97724
JwCnSW-RQ7_DxvbzWNO1hA,2022-10-10 21:00:36.464536,Coletta,italian,4.5,108,365 3rd Ave,10016,40.74094,-73.98139
-Td-YEPTOUq2H3LRWgRxUw,2022-10-10 21:00:36.464555,Non Solo Piada,italian,4.5,391,302 W 37th St,10018,40.75414,-73.99245
JBthOvTegHbrLDiVaCAy5Q,2022-10-10 21:00:36.464574,Bigoi Venezia,italian,4.5,315,1415 2nd Ave,10021,40.770036,-73.9577755
OwDRIugcA4LkUuTRqpJsog,2022-10-10 21:00:36.464592,Naked Dog,italian,4.5,264,47 Java St,11222,40.7312720665479,-73.9593493647979
6eqrk1wCQMww_ejze5gvsg,2022-10-10 21:00:36.464613,Forsythia,italian,4.5,118,9 Stanton St,10002,40.7225353,-73.992492
1ZKbUeFAs0ltSnAYq4ELKw,2022-10-10 21:00:36.464631,Trattoria L'incontro,italian,4.5,1062,21-76 31st St,11105,40.77648209257472,-73.91059675544598
ZamvzoxEKiJEboO0ZUdogw,2022-10-10 21:00:36.464652,Amici Ristorante,italian,4.5,143,165 Mulberry St,10013,40.71981,-73.99722
hDj_0pbi4mFR5p1H1w6igw,2022-10-10 21:00:36.464683,Misirizzi,italian,4.5,176,36 E 4th St,10003,40.7272,-73.99228
ry0nAQiUn8bpNAruY_5wfw,2022-10-10 21:00:36.464702,Scalino,italian,4.5,290,659 Manhattan Ave,11222,40.7244699,-73.95151
OLa3-KQO9rHjswo55E3Jgg,2022-10-10 21:00:36.464720,Trattoria La Sorrentina,italian,4.5,630,7831 Bergenline Ave,07047,40.80174,-74.00698
